,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3147130,104779700.0,pearkes/tugboat,False,,ruby,master,2.0,merge_found,,2015-08-25 15:09:49,7,1922,2016-01-25,passed,1.0,False,
3148279,104878850.0,diowa/icare,False,,ruby,master,2.0,merge_found,,2015-07-29 00:55:34,1,1737,2016-01-26,passed,1.0,False,
3151631,105107490.0,savonrb/savon,False,,ruby,master,3.0,merge_found,,2015-09-01 19:51:46,6,1283,2016-01-15,passed,2.0,False,
3151882,105122600.0,openstreetmap/openstreetmap-website,False,,ruby,master,1.0,build_found,104747870.0,2015-09-01 22:08:01,3,12285,2016-01-27,passed,4.0,False,
3151883,105123350.0,rodjek/rspec-puppet,False,,ruby,master,6.0,merge_found,,2015-09-01 22:08:01,7,1779,2016-01-27,passed,0.0,False,
3156594,105450860.0,openstreetmap/openstreetmap-website,False,,ruby,master,1.0,build_found,105122600.0,2015-09-04 02:34:07,3,12285,2016-01-28,passed,25.0,False,
3156596,105451330.0,projecthydra/sufia,False,,ruby,master,2.0,merge_found,,2015-09-04 02:34:07,37,6645,2016-01-28,passed,4.0,False,
3156597,105452540.0,projecthydra/sufia,True,2016-01-27 00:54:43,ruby,master,2.0,build_found,105451330.0,2015-09-04 02:34:07,37,6645,2016-01-28,passed,0.0,False,
3156626,105455140.0,presidentbeef/brakeman,False,,ruby,master,2.0,merge_found,,2015-09-04 02:50:21,8,13088,2016-01-28,passed,1.0,,
3158964,105587710.0,openfoodfoundation/openfoodnetwork,False,,ruby,master,1.0,build_found,103532056.0,2015-09-05 11:46:18,18,19092,2016-01-29,passed,1.0,False,
3160785,105720340.0,rapid7/metasploit-framework,False,,ruby,master,2.0,merge_found,,2015-09-02 12:25:39,93,601739,2016-01-29,passed,5.0,False,
3160789,105722190.0,rapid7/metasploit-framework,False,,ruby,master,4.0,merge_found,,2015-09-02 12:25:39,93,601732,2016-01-29,passed,5.0,,
3160792,105723096.0,rails-api/active_model_serializers,True,2016-01-29 17:16:11,ruby,master,2.0,build_found,105561730.0,2015-09-02 12:25:39,47,1813,2016-02-26,passed,0.0,,
3160826,105724200.0,rapid7/metasploit-framework,False,,ruby,master,3.0,merge_found,,2015-09-06 21:28:56,93,601756,2016-01-29,failed,5.0,False,
3160840,105727140.0,rapid7/metasploit-framework,False,,ruby,master,2.0,merge_found,,2015-09-06 21:33:13,93,601756,2016-01-29,failed,4.0,,
3160860,105727930.0,rapid7/metasploit-framework,False,,ruby,master,2.0,merge_found,,2015-09-06 21:33:13,93,601756,2016-01-29,passed,4.0,False,
3160864,105728750.0,tmuxinator/tmuxinator,True,2016-01-29 17:42:17,ruby,master,2.0,build_found,103438160.0,2015-09-06 21:33:13,9,2031,2016-03-04,passed,36.0,False,
3172396,106623300.0,ruby-concurrency/concurrent-ruby,False,,ruby,master,2.0,merge_found,,2015-09-11 07:46:48,10,12377,2016-02-03,passed,1.0,True,
3173226,106675016.0,savonrb/savon,False,,ruby,master,3.0,merge_found,,2015-09-10 15:35:27,6,1283,2016-01-15,passed,2.0,False,
3179136,107009370.0,rspec/rspec-mocks,True,2016-02-04 15:12:09,ruby,master,2.0,build_found,103512890.0,2015-09-14 14:12:55,16,4231,2016-02-05,passed,6.0,,
3184046,107351650.0,expertiza/expertiza,False,,ruby,master,2.0,merge_found,,2015-08-28 05:00:07,12,26684,2016-02-05,passed,44.0,False,
